date,ticker,close
201011,KKR,12.58
201012,KKR,14.2
201101,KKR,14.99
201102,KKR,16.66
201103,KKR,16.41
201104,KKR,18.96
201105,KKR,17.19
201106,KKR,16.32
201107,KKR,14.65
201108,KKR,12.8
201109,KKR,10.4
201110,KKR,13.48
201111,KKR,12.83
201112,KKR,12.83
201201,KKR,13.98
201202,KKR,14.32
201203,KKR,14.83
201204,KKR,14.12
201205,KKR,11.75
201206,KKR,12.89
201207,KKR,13.99
201208,KKR,14.25
201209,KKR,15.11
201210,KKR,15.05
201211,KKR,13.75
201212,KKR,15.23
201301,KKR,16.88
201302,KKR,18.22
201303,KKR,19.32
201304,KKR,21
201305,KKR,19.48
201306,KKR,19.66
201307,KKR,20.45
201308,KKR,19.11
201309,KKR,20.58
201310,KKR,21.95
201311,KKR,23.73
201312,KKR,24.34
201401,KKR,24.11
201402,KKR,24.14
201403,KKR,22.84
201404,KKR,22.71
201405,KKR,22.73
201406,KKR,24.33
201407,KKR,22.92
201408,KKR,23.49
201409,KKR,22.3
201410,KKR,21.56
201411,KKR,22.28
201412,KKR,23.21
201501,KKR,24.01
201502,KKR,22.85
201503,KKR,22.81
201504,KKR,22.51
201505,KKR,22.95
201506,KKR,22.85
201507,KKR,23.9
201508,KKR,19.09
201509,KKR,16.78
201510,KKR,17.15
201511,KKR,16.91
201512,KKR,15.59
201601,KKR,13.63
201602,KKR,12.84
201603,KKR,14.69
201604,KKR,13.6
201605,KKR,13.51
201606,KKR,12.34
201607,KKR,14.44
201608,KKR,14.99
201609,KKR,14.26
201610,KKR,14.19
201611,KKR,15.3
201612,KKR,15.39
201701,KKR,17.36
201702,KKR,18.03
201703,KKR,18.23
201704,KKR,18.98
201705,KKR,18.42
201706,KKR,18.6
201707,KKR,19.38
201708,KKR,19.01
201709,KKR,20.33
201710,KKR,20.05
201711,KKR,19.92
201712,KKR,21.06
201801,KKR,24.08
201802,KKR,21.46
201803,KKR,20.3
201804,KKR,20.94
201805,KKR,22.23
201806,KKR,24.85
201807,KKR,27.38
201808,KKR,26.08
201809,KKR,27.27
201810,KKR,23.65
201811,KKR,22.92
201812,KKR,19.63
201901,KKR,22.45
201902,KKR,22.23
201903,KKR,23.49
201904,KKR,24.45
201905,KKR,22.28
201906,KKR,25.27
201907,KKR,26.75
201908,KKR,25.84
201909,KKR,26.85
201910,KKR,28.83
201911,KKR,29.49
201912,KKR,29.17
202001,KKR,31.9
202002,KKR,28.6
202003,KKR,23.47
202004,KKR,25.21
202005,KKR,27.75
202006,KKR,30.88
202007,KKR,35.37
202008,KKR,35.82
202009,KKR,34.34
202010,KKR,34.15
202011,KKR,37.93
202012,KKR,40.49
202101,KKR,38.95
202102,KKR,45.56
202103,KKR,48.85
202104,KKR,56.58
202105,KKR,55.69
202106,KKR,59.24
202107,KKR,63.76
202108,KKR,64.29
202109,KKR,60.88
202110,KKR,79.67
202111,KKR,74.45
202112,KKR,74.5
202201,KKR,71.16
202202,KKR,60.12
202203,KKR,58.47
202204,KKR,50.97
202205,KKR,54.81
202206,KKR,46.29
202207,KKR,55.46
202208,KKR,50.56
202209,KKR,43
202210,KKR,48.63
202211,KKR,51.92
202212,KKR,46.42
202301,KKR,55.81
202302,KKR,56.35
202303,KKR,52.52
202304,KKR,53.07
202305,KKR,51.49
202306,KKR,56
202307,KKR,59.38
202308,KKR,62.81
202309,KKR,61.6
202310,KKR,55.4
202311,KKR,
